number,init_month,lead,anom_corr,p33,p50,p66,category
0,1,1,-0.023647335554121372,-0.1803920383267516,-0.023647335554121372,0.08368103977952522,acceptable
0,1,2,0.4554208773599312,-0.008674842338837491,0.07191096924380895,0.17163829108078732,good
0,1,3,0.17370214417914367,-0.10789327872088714,0.04221978112881403,0.11469540817096935,good
0,1,4,-0.08720677267044015,-0.037926275646005515,0.09459851858230241,0.18619148196885574,problematic
0,1,5,0.14041436236124583,0.003821299207757794,0.10542224984192745,0.21417131434666403,acceptable
0,1,6,0.04199852079276093,-0.1331322889884426,0.04313646153888055,0.20042744406191942,acceptable
0,2,1,0.21225303960127717,-0.0009274845793163515,0.05634525728977461,0.1989728663510373,good
0,2,2,0.055800299447241665,-0.2204507515740357,-0.05989790943768774,0.04416086495921849,good
0,2,3,0.10223065080260953,-0.0017781236224170063,0.09523344601214088,0.14820124455046524,acceptable
0,2,4,0.07160918194092264,0.06580192500696962,0.13890586492527754,0.2694559795351103,acceptable
0,2,5,0.07646301225225788,0.08285048889875321,0.18856824522708238,0.2434021832885023,problematic
0,2,6,-0.08787902930234068,0.005381551766387618,0.10281898629606731,0.16726593558683864,problematic
0,3,1,0.17258932308933947,-0.19231794549963682,0.007390968128044421,0.09218595364301747,good
0,3,2,0.03145964077418812,0.02020990017780174,0.09820832287722374,0.1866972452198189,acceptable
0,3,3,0.0015020200096034885,0.044462318604277316,0.18952830707237733,0.2625474735241484,problematic
0,3,4,0.14284818228031615,-0.01084952115289381,0.07196808615665147,0.14284818228031615,good
0,3,5,0.1293752210878187,0.025959098727837665,0.1293752210878187,0.20516040037197605,acceptable
0,3,6,0.04158931329987598,0.07101759239331726,0.1722968474080204,0.23588885605564325,problematic
0,4,1,0.08917084979332955,-0.09389939033008457,0.00863988121368846,0.11981417253006652,acceptable
0,4,2,-0.025031258075071793,-0.019515198079090468,0.19808673724646547,0.24726100712464338,problematic
0,4,3,0.11219385057415063,-0.08560063706778931,0.026813312761149805,0.1504523765732379,acceptable
0,4,4,0.12842581754839444,0.01594466041691373,0.11599917860449803,0.2266667900367333,acceptable
0,4,5,0.3188086318127905,0.13810622830276986,0.21420543960804245,0.32149824273616356,acceptable
0,4,6,0.2254817780860246,0.024273449554425515,0.20144132754914737,0.3535478723998844,acceptable
0,5,1,-0.03198604776905568,0.15369332296464777,0.25081829998659083,0.45286589693074986,problematic
0,5,2,0.21702776161018628,0.04117690140557726,0.16275895125417372,0.22922218192153168,acceptable
0,5,3,0.5598409392638833,0.0891665764625072,0.16617570422089362,0.2616524258185498,good
0,5,4,0.11965306153938822,0.036766051275417155,0.11965306153938822,0.1835530562264186,acceptable
0,5,5,-0.02693443030643534,0.00673731501484017,0.0959655477690163,0.2846099986090247,problematic
0,5,6,0.05139467971012759,-0.03839492818043834,0.026347439803313215,0.1543139782944387,acceptable
0,6,1,0.2908445680335141,-0.09253070835548466,0.20608823508197785,0.31367649973980627,acceptable
0,6,2,0.11781375157406164,0.07373659419855205,0.14194276746160953,0.22601702381896238,acceptable
0,6,3,0.031591053597205494,0.005340097787891087,0.09322145137698501,0.18911078146554847,acceptable
0,6,4,0.3648986120908311,0.02941258427181616,0.1252127610919948,0.1841847345866583,good
0,6,5,0.3137718037105546,0.0732296653684507,0.1621246611388219,0.26362599633830347,good
0,6,6,0.3005106231792003,-0.08204563224381073,0.014711252802331019,0.09759428393561265,good
0,7,1,0.38662533622696504,0.16018084746695158,0.2354999286321095,0.2736212392412943,good
