start_month,lead_time,ensemble,variable,correlation,p33,p50,p66,category
1,0,0,T2MAX,-0.31336059746991723,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,problematic
1,0,0,T2MIN,-0.06751815985516338,0.026460772990582755,0.08917923778406103,0.17390493992572026,problematic
1,0,1,T2MAX,-0.2578849459307867,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,acceptable
1,0,1,T2MIN,0.11339774732863125,0.026460772990582755,0.08917923778406103,0.17390493992572026,acceptable
1,0,2,T2MAX,0.3393191168913576,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,2,T2MIN,0.33136916746681955,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,3,T2MAX,-0.11152664680852317,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,acceptable
1,0,3,T2MIN,0.15684195134371223,0.026460772990582755,0.08917923778406103,0.17390493992572026,acceptable
1,0,4,T2MAX,0.17954744814815504,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,4,T2MIN,0.3931471595028836,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,5,T2MAX,0.6140398705754396,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,5,T2MIN,0.641841885289139,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,6,T2MAX,0.26203027052188094,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,6,T2MIN,0.2733065918535625,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,7,T2MAX,-0.05385271365369379,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,acceptable
1,0,7,T2MIN,0.2075289372815418,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,8,T2MAX,-0.6293939218542975,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,problematic
1,0,8,T2MIN,-0.22282514972270148,0.026460772990582755,0.08917923778406103,0.17390493992572026,problematic
1,0,9,T2MAX,-0.12478154643101493,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,acceptable
1,0,9,T2MIN,0.03945554883723903,0.026460772990582755,0.08917923778406103,0.17390493992572026,acceptable
1,0,10,T2MAX,0.11173987761267663,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,10,T2MIN,0.35149470678667744,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,11,T2MAX,0.0052420110564724235,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,11,T2MIN,0.17390493992572026,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,12,T2MAX,0.3198299758760432,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,12,T2MIN,0.4511734327140051,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,13,T2MAX,-0.49318012163246305,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,problematic
1,0,13,T2MIN,-0.48713132255812447,0.026460772990582755,0.08917923778406103,0.17390493992572026,problematic
1,0,14,T2MAX,-0.0070988772130405305,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,14,T2MIN,0.07903413960776459,0.026460772990582755,0.08917923778406103,0.17390493992572026,acceptable
1,0,15,T2MAX,0.5489497656794106,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,15,T2MIN,0.5897344198721486,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,16,T2MAX,0.41079231892370405,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,16,T2MIN,0.4793655009958756,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,17,T2MAX,-0.690420097686704,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,problematic
1,0,17,T2MIN,-0.5985909864757146,0.026460772990582755,0.08917923778406103,0.17390493992572026,problematic
1,0,18,T2MAX,-0.5579113100379649,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,problematic
1,0,18,T2MIN,-0.2523742758938514,0.026460772990582755,0.08917923778406103,0.17390493992572026,problematic
1,0,19,T2MAX,0.1757611539343322,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,good
1,0,19,T2MIN,0.3410696769392823,0.026460772990582755,0.08917923778406103,0.17390493992572026,good
1,0,20,T2MAX,-0.2626696986239399,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,acceptable
1,0,20,T2MIN,0.14272259568225287,0.026460772990582755,0.08917923778406103,0.17390493992572026,acceptable
1,0,21,T2MAX,-0.13865697631918592,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,acceptable
1,0,21,T2MIN,0.17357430267823537,0.026460772990582755,0.08917923778406103,0.17390493992572026,acceptable
1,0,22,T2MAX,-0.3131007988238161,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305,problematic
