number,init_month,lead,anom_corr,p33,p50,p66,category
0,1,1,-0.058959984793124,-0.06943028961076442,0.02447538825936309,0.13810009976922727,acceptable
0,1,2,0.3057758768645099,-0.04772622729997493,0.05048870133630741,0.19238590437259975,good
0,1,3,0.20778470795766682,-0.0632988968701916,0.03315290645542319,0.08853278673310296,good
0,1,4,0.1601734186813174,-0.020789593108341633,0.09608552074208808,0.1983821723893273,acceptable
0,1,5,0.2656923459926367,0.009900763873617624,0.09051158740827651,0.19859139736820622,good
0,1,6,-0.08834022689818917,-0.14539330196143324,-0.054241969291587734,0.09733297406897702,acceptable
0,2,1,0.24298295441440895,0.0809127225951132,0.17615645451150194,0.21954038888761948,good
0,2,2,-0.034216290983594085,-0.24532131602745594,-0.11261673118008642,0.003412006465579856,acceptable
0,2,3,0.1862105144645939,-0.0790684647105585,0.04382511740570667,0.13548355202934104,good
0,2,4,0.07953609206602855,0.0491521308187291,0.1251852229555431,0.22897238205267056,acceptable
0,2,5,-0.05469264070991495,-0.0246541157357358,0.09981122267467363,0.15013975650493697,problematic
0,2,6,0.03160620162173388,-0.06941633125763037,0.021111997521845855,0.12137527175824353,acceptable
0,3,1,0.18495351020571357,-0.06942557537333685,0.047121002860410086,0.14405829274293896,good
0,3,2,0.10290209508398876,-0.06687021001344162,0.09666323093354154,0.15948642563375762,acceptable
0,3,3,0.12312108933953131,0.06742976673322956,0.18946996034132899,0.2868663271649347,acceptable
0,3,4,0.217430661194572,-0.10650693721421961,0.007813839664796443,0.13089886320855063,good
0,3,5,-0.23984192262217605,-0.088142415935678,0.016409769076856286,0.1064293141377,problematic
0,3,6,-0.12273232247952748,-0.08489744218269749,0.04339034027281642,0.15699690727278154,problematic
0,4,1,0.02366759533697123,-0.32616430863159485,-0.1304883545859604,-0.02253711509353655,good
0,4,2,0.06856583471681992,-0.027235222652889135,0.07410869519320075,0.20881314222818712,acceptable
0,4,3,-0.121482218987931,-0.01809011630910283,0.04484194357645077,0.1483059533097487,problematic
0,4,4,0.08253760494804634,-0.08972025684571601,0.01593481712151043,0.17598332361906513,acceptable
0,4,5,0.31097554806349237,-0.01982267423270117,0.08987209731864429,0.21801759213878188,good
0,4,6,0.3835202665763206,-0.008702058486497242,0.09442203170546941,0.19533561662640928,good
0,5,1,-0.17009666376756605,0.04516240857764393,0.3569243702520643,0.518575912221166,problematic
0,5,2,0.21143878921207046,0.024574959374444975,0.11419903050199785,0.18214682644556462,good
0,5,3,0.24255750028498008,-0.09091721077638246,0.04621515332393158,0.20914290360103752,good
0,5,4,0.1361569788761233,-0.022566740564624533,0.039450581439543005,0.1361569788761233,good
0,5,5,0.08868331327491294,-0.06704125663690635,0.074241677491527,0.18745004820783465,acceptable
0,5,6,0.08134862674741784,-0.0779463066096528,-0.01687973501431404,0.06593514153661861,good
0,6,1,0.3198120734950241,0.020584468029518924,0.15927030438296094,0.29408676346989426,good
0,6,2,0.06341493893763613,-0.07566722544826915,0.006347941945939019,0.05466872867058245,good
0,6,3,-0.023277586254427326,-0.1573932620449054,-0.023277586254427326,0.15734058430609757,acceptable
0,6,4,0.2529432403153523,-0.08012878474552355,0.061678679400352446,0.11110306218128889,good
0,6,5,0.2605265578825211,0.004968211375838094,0.13813236935186005,0.2605265578825211,good
0,6,6,0.14533196477980578,-0.09428620281925831,0.025422994714307163,0.13758408107435957,good
0,7,1,0.1832852512698892,-0.07947343523455874,-0.027737959543526043,0.10319434067728205,good
0,7,2,0.5461337147645579,-0.1325360907548482,0.04548422833044342,0.1415223093291878,good
0,7,3,-0.017430548595370302,-0.08608235087678012,0.011102223734934575,0.1296779968833181,acceptable
0,7,4,0.28011810414649246,-0.004860463735820466,0.07416696163365782,0.19228077071986527,good
0,7,5,0.011273162700740367,-0.13396398632186013,0.009237868953501555,0.10592440772922714,acceptable
0,7,6,0.04678808109529931,-0.13285345341215807,0.04678808109529931,0.11271486650142878,acceptable
0,8,1,-0.20988393651911144,-0.1289273608554845,-0.0771446954205681,0.008836832996114421,problematic
0,8,2,0.17440536689575287,0.000807232889615702,0.097808858241181,0.19544442959902497,acceptable
0,8,3,0.15223689018077,-0.041138415385277335,0.11066097380702497,0.18497601254760448,acceptable
0,8,4,0.25913970637448375,-0.10289604957070615,-0.006973278159012063,0.10651775946350019,good
0,8,5,0.37591907512127676,0.07056978584667759,0.1397076365026075,0.19215436285619802,good
0,8,6,0.3194991853201678,-0.10971510670701407,0.027763697057260565,0.15363509963853336,good
