init_month,lead,p33,p50,p66
1,1,-0.1803920383267516,-0.023647335554121372,0.08368103977952522
1,2,-0.008674842338837491,0.07191096924380895,0.17163829108078732
1,3,-0.10789327872088714,0.04221978112881403,0.11469540817096935
1,4,-0.037926275646005515,0.09459851858230241,0.18619148196885574
1,5,0.003821299207757794,0.10542224984192745,0.21417131434666403
1,6,-0.1331322889884426,0.04313646153888055,0.20042744406191942
2,1,-0.0009274845793163515,0.05634525728977461,0.1989728663510373
2,2,-0.2204507515740357,-0.05989790943768774,0.04416086495921849
2,3,-0.0017781236224170063,0.09523344601214088,0.14820124455046524
2,4,0.06580192500696962,0.13890586492527754,0.2694559795351103
2,5,0.08285048889875321,0.18856824522708238,0.2434021832885023
2,6,0.005381551766387618,0.10281898629606731,0.16726593558683864
3,1,-0.19231794549963682,0.007390968128044421,0.09218595364301747
3,2,0.02020990017780174,0.09820832287722374,0.1866972452198189
3,3,0.044462318604277316,0.18952830707237733,0.2625474735241484
3,4,-0.01084952115289381,0.07196808615665147,0.14284818228031615
3,5,0.025959098727837665,0.1293752210878187,0.20516040037197605
3,6,0.07101759239331726,0.1722968474080204,0.23588885605564325
4,1,-0.09389939033008457,0.00863988121368846,0.11981417253006652
4,2,-0.019515198079090468,0.19808673724646547,0.24726100712464338
4,3,-0.08560063706778931,0.026813312761149805,0.1504523765732379
4,4,0.01594466041691373,0.11599917860449803,0.2266667900367333
4,5,0.13810622830276986,0.21420543960804245,0.32149824273616356
4,6,0.024273449554425515,0.20144132754914737,0.3535478723998844
5,1,0.15369332296464777,0.25081829998659083,0.45286589693074986
5,2,0.04117690140557726,0.16275895125417372,0.22922218192153168
5,3,0.0891665764625072,0.16617570422089362,0.2616524258185498
5,4,0.036766051275417155,0.11965306153938822,0.1835530562264186
5,5,0.00673731501484017,0.0959655477690163,0.2846099986090247
5,6,-0.03839492818043834,0.026347439803313215,0.1543139782944387
6,1,-0.09253070835548466,0.20608823508197785,0.31367649973980627
6,2,0.07373659419855205,0.14194276746160953,0.22601702381896238
6,3,0.005340097787891087,0.09322145137698501,0.18911078146554847
6,4,0.02941258427181616,0.1252127610919948,0.1841847345866583
6,5,0.0732296653684507,0.1621246611388219,0.26362599633830347
6,6,-0.08204563224381073,0.014711252802331019,0.09759428393561265
7,1,0.16018084746695158,0.2354999286321095,0.2736212392412943
7,2,0.01839903439520444,0.09488275301282895,0.22870920425086055
7,3,0.08212743888126056,0.1459406711192245,0.22333494999965514
7,4,-0.02969404478036106,0.10919181636048939,0.21424850615260504
7,5,-0.11260583587470664,0.07973052979680847,0.15378836656597367
7,6,-0.12452559305285506,-6.136571015708682e-05,0.05249872112324496
8,1,0.011805883835814601,0.0857391143413449,0.1891008670623815
8,2,0.020020049757609144,0.09338841572616886,0.179317113807809
8,3,-0.012372457327345314,0.20063263348095575,0.2538674250889917
8,4,-0.07753455248316353,0.007913176945276447,0.1645581002056383
8,5,-0.06450672837556956,0.060600594949422354,0.13313786173123843
8,6,-0.10245488928155809,-0.015664859979882303,0.12227436216437573
9,1,0.22332928514130457,0.30308159808493207,0.3375292406094502
9,2,0.1294255885176459,0.19675511909205087,0.25390695025788507
9,3,-0.11361107219364677,0.031017587082521347,0.13032523822433928
9,4,-0.2244537458009937,-0.12377782978784048,-0.01513905645422064
9,5,-0.020035576577337896,0.07485401058870422,0.18489418379886735
9,6,-0.04074454823145912,0.08253001490137672,0.19139575431267655
10,1,0.18074219781325385,0.2605083310943841,0.4471766406215517
10,2,-0.002275967933540788,0.09612329176235031,0.2523391928657376
10,3,-0.1552587185637021,-0.06543828958373175,0.05435444320190086
10,4,-0.07121330515256935,-0.016394960133198983,0.12337303306228899
10,5,0.02383593767215223,0.14220280619623493,0.19700720760840107
10,6,0.025811490295304163,0.15217387262671508,0.25375030816620786
11,1,-0.06543958573990044,0.028916915494303978,0.10754552234424011
11,2,-0.16118661171435317,-0.07042554178270521,0.010311179244566246
11,3,-0.08838901061077933,0.007533419147070412,0.11027227480459037
11,4,0.016766547804935333,0.09774229694844347,0.21049868502189353
11,5,-0.12185057417482985,0.030922106781322935,0.14080431104240856
11,6,-0.18394962439930349,-0.0971519309227528,0.06277132957721104
12,1,0.05533140277202697,0.20529239226403984,0.2669720540588064
12,2,-0.13623583485752505,0.005959017933829492,0.12259997133934883
12,3,0.014576400251099988,0.11419574263851379,0.18737406111000063
12,4,-0.01345207726901777,0.05733498322970157,0.13258884887819405
12,5,-0.1086883996698691,-0.011257157409491335,0.07476402390730294
12,6,0.010205420508506705,0.14838866172214646,0.23473403242810523
