number,init_month,lead,anom_corr
0,1,1,-0.023647335554121372
0,1,2,0.4554208773599312
0,1,3,0.17370214417914367
0,1,4,-0.08720677267044015
0,1,5,0.14041436236124583
0,1,6,0.04199852079276093
0,2,1,0.21225303960127717
0,2,2,0.055800299447241665
0,2,3,0.10223065080260953
0,2,4,0.07160918194092264
0,2,5,0.07646301225225788
0,2,6,-0.08787902930234068
0,3,1,0.17258932308933947
0,3,2,0.03145964077418812
0,3,3,0.0015020200096034885
0,3,4,0.14284818228031615
0,3,5,0.1293752210878187
0,3,6,0.04158931329987598
0,4,1,0.08917084979332955
0,4,2,-0.025031258075071793
0,4,3,0.11219385057415063
0,4,4,0.12842581754839444
0,4,5,0.3188086318127905
0,4,6,0.2254817780860246
0,5,1,-0.03198604776905568
0,5,2,0.21702776161018628
0,5,3,0.5598409392638833
0,5,4,0.11965306153938822
0,5,5,-0.02693443030643534
0,5,6,0.05139467971012759
0,6,1,0.2908445680335141
0,6,2,0.11781375157406164
0,6,3,0.031591053597205494
0,6,4,0.3648986120908311
0,6,5,0.3137718037105546
0,6,6,0.3005106231792003
0,7,1,0.38662533622696504
0,7,2,0.5277648824559914
0,7,3,0.11304382371348091
0,7,4,0.3251474818438189
0,7,5,-0.015790016494491955
0,7,6,0.011993168251864535
0,8,1,-0.08759559339693496
0,8,2,0.36068717309225323
0,8,3,0.24463761587437874
0,8,4,0.2822943079500599
0,8,5,0.2795213564902969
0,8,6,0.22886063330343281
0,9,1,0.42774850726663266
0,9,2,0.17100306328943823
0,9,3,0.11649618052636306
0,9,4,-0.03983647219580195
0,9,5,-0.024122566704099117
0,9,6,0.3516829754718518
0,10,1,0.14121164300943426
0,10,2,-0.06844286751562229
0,10,3,-0.08431574819441208
0,10,4,-0.028222264220145496
0,10,5,0.27330647578798306
0,10,6,0.3097621179913372
0,11,1,0.13532013374891666
0,11,2,-0.18638113050662275
0,11,3,-0.07427119781352125
0,11,4,-0.023338752538719417
0,11,5,0.11729387985007231
0,11,6,0.14127795224061518
0,12,1,0.09131540380140933
0,12,2,-0.12693023257177144
0,12,3,0.10795787762950805
0,12,4,0.08539191551726222
0,12,5,0.29225208802612385
0,12,6,0.153230004628769
1,1,1,0.21387962461929608
1,1,2,0.17163829108078732
1,1,3,-0.2486066488975201
1,1,4,-0.04318106949710757
1,1,5,0.12387340427147109
1,1,6,0.3266185521018174
1,2,1,0.120408780729766
1,2,2,0.14355932069858054
1,2,3,0.006750021873643896
1,2,4,0.059994668073016594
1,2,5,0.4108573350190301
1,2,6,0.27130893732683437
1,3,1,-0.06379554671990083
1,3,2,0.244787027463345
1,3,3,0.18952830707237733
1,3,4,-0.04796578492996635
1,3,5,-0.012224749972083492
1,3,6,0.2119562126354997
1,4,1,0.0525069683536374
1,4,2,0.3403913938888801
1,4,3,-0.10034556438246772
1,4,4,0.02503041377385316
1,4,5,0.340186658908736
1,4,6,-0.06174434063628846
1,5,1,-0.14688646426889523
1,5,2,0.16497717873635515
1,5,3,-0.08378440443695577
1,5,4,0.025564533923868663
1,5,5,0.21345441501455856
1,5,6,0.09340694509771805
1,6,1,0.45344985157890105
1,6,2,0.11395082480142849
1,6,3,0.4221084762418289
1,6,4,0.1145521515942386
1,6,5,0.004434316395505024
1,6,6,-0.18472994924303174
1,7,1,0.21979457945607173
1,7,2,0.23695023007826907
1,7,3,0.0929312591131059
1,7,4,0.10919181636048939
1,7,5,-0.4057439178129959
