number,init_month,lead,anom_corr
0,1,1,-0.058959984793124
0,1,2,0.3057758768645099
0,1,3,0.20778470795766682
0,1,4,0.1601734186813174
0,1,5,0.2656923459926367
0,1,6,-0.08834022689818917
0,2,1,0.24298295441440895
0,2,2,-0.034216290983594085
0,2,3,0.1862105144645939
0,2,4,0.07953609206602855
0,2,5,-0.05469264070991495
0,2,6,0.03160620162173388
0,3,1,0.18495351020571357
0,3,2,0.10290209508398876
0,3,3,0.12312108933953131
0,3,4,0.217430661194572
0,3,5,-0.23984192262217605
0,3,6,-0.12273232247952748
0,4,1,0.02366759533697123
0,4,2,0.06856583471681992
0,4,3,-0.121482218987931
0,4,4,0.08253760494804634
0,4,5,0.31097554806349237
0,4,6,0.3835202665763206
0,5,1,-0.17009666376756605
0,5,2,0.21143878921207046
0,5,3,0.24255750028498008
0,5,4,0.1361569788761233
0,5,5,0.08868331327491294
0,5,6,0.08134862674741784
0,6,1,0.3198120734950241
0,6,2,0.06341493893763613
0,6,3,-0.023277586254427326
0,6,4,0.2529432403153523
0,6,5,0.2605265578825211
0,6,6,0.14533196477980578
0,7,1,0.1832852512698892
0,7,2,0.5461337147645579
0,7,3,-0.017430548595370302
0,7,4,0.28011810414649246
0,7,5,0.011273162700740367
0,7,6,0.04678808109529931
0,8,1,-0.20988393651911144
0,8,2,0.17440536689575287
0,8,3,0.15223689018077
0,8,4,0.25913970637448375
0,8,5,0.37591907512127676
0,8,6,0.3194991853201678
0,9,1,0.5062380851965351
0,9,2,0.15380436099117853
0,9,3,0.01655039325129344
0,9,4,-0.07079528249485395
0,9,5,0.11306589780876297
0,9,6,0.35391605940450993
0,10,1,0.05737621018819405
0,10,2,-0.08493418304636428
0,10,3,0.029861412926188387
0,10,4,-0.0778611981137028
0,10,5,0.384431757617144
0,10,6,0.2377854631013069
0,11,1,0.14021256770531515
0,11,2,-0.042073269083586246
0,11,3,-0.0648552579269527
0,11,4,-0.15253688021730383
0,11,5,0.0174572714714817
0,11,6,0.01714913971574333
0,12,1,0.04192908296416336
0,12,2,-0.12598652069441113
0,12,3,0.03174912717421944
0,12,4,0.21225619729225825
0,12,5,0.388293076930546
0,12,6,0.14610330143701672
1,1,1,0.22686227384882193
1,1,2,0.19238590437259975
1,1,3,-0.1284888805140093
1,1,4,0.05232067712964295
1,1,5,0.36961142651466095
1,1,6,0.05991909331552606
1,2,1,0.2184033441371945
1,2,2,0.12492814524359576
1,2,3,0.10420062075510317
1,2,4,-0.09861143460446908
1,2,5,0.10701765760152296
1,2,6,0.09536400217231901
1,3,1,0.040786182882357226
1,3,2,0.40665604791090526
1,3,3,0.1302532531677072
1,3,4,-0.09484541288203396
1,3,5,-0.1714942191150604
1,3,6,0.1757601213722617
1,4,1,-0.0494644874080538
1,4,2,0.18611753994804375
1,4,3,0.030190062157104902
1,4,4,0.03884919040588227
1,4,5,0.3801861575337092
